title,postings,avg_salary,min_salary,max_salary
Principal Data Scientist,12,198250.0,150000.0,300000.0
Data Analyst (Market Research),10,145600.0,145600.0,145600.0
Lead-Data Analyst,45,144732.0,144482.0,148239.0
Senior Data Scientist,13,142397.0,36400.0,213200.0
Principal Data Analyst,16,140128.0,69041.0,198000.0
Market Research Data Analyst,11,140091.0,85000.0,145600.0
Data Engineer,56,129235.0,66560.0,229500.0
Data Scientist,108,126795.0,20800.0,260000.0
Data Analytics Lead,13,124703.0,116700.0,182439.0
Senior Performance Marketing (Data Analyst),14,122471.0,122471.0,122471.0
