skill,remote_count,onsite_count,total
sql,13533,17473,31006
excel,7927,11852,19779
python,8385,10408,18793
power_bi,6532,10888,17420
tableau,6776,10047,16823
r,4550,6792,11342
sas,2033,3284,5317
powerpoint,1487,2924,4411
word,1550,2815,4365
azure,1869,2018,3887
snowflake,1827,1820,3647
aws,1924,1712,3636
spark,976,2177,3153
looker,1481,1189,2670
go,1063,1298,2361
spreadsheet,1053,1249,2302
sap,752,1486,2238
scala,354,1755,2109
spss,741,1141,1882
jira,664,1133,1797
java,817,892,1709
c,631,1006,1637
alteryx,557,1063,1620
outlook,567,917,1484
hadoop,583,881,1464
nosql,315,1103,1418
sharepoint,544,840,1384
vba,436,897,1333
javascript,547,768,1315
gcp,505,790,1295
