month,skill,count,jobs_in_month,pct_of_month
2022-11,sql,1179,2159,54.61
2022-11,excel,841,2159,38.95
2022-11,python,698,2159,32.33
2022-11,power_bi,642,2159,29.74
2022-11,tableau,624,2159,28.9
2022-12,sql,1686,3329,50.65
2022-12,excel,1169,3329,35.12
2022-12,python,971,3329,29.17
2022-12,power_bi,923,3329,27.73
2022-12,tableau,922,3329,27.7
2023-01,sql,2013,3682,54.67
2023-01,excel,1279,3682,34.74
2023-01,python,929,3682,25.23
2023-01,power_bi,922,3682,25.04
2023-01,tableau,1184,3682,32.16
2023-02,sql,1434,2828,50.71
2023-02,excel,1045,2828,36.95
2023-02,python,786,2828,27.79
2023-02,power_bi,764,2828,27.02
2023-02,tableau,725,2828,25.64
2023-03,sql,1461,2727,53.58
2023-03,excel,987,2727,36.19
2023-03,python,781,2727,28.64
2023-03,power_bi,785,2727,28.79
2023-03,tableau,714,2727,26.18
2023-04,sql,1206,2493,48.38
2023-04,excel,849,2493,34.06
2023-04,python,690,2493,27.68
2023-04,power_bi,649,2493,26.03
2023-04,tableau,680,2493,27.28
2023-05,sql,1154,2357,48.96
2023-05,excel,708,2357,30.04
2023-05,python,639,2357,27.11
2023-05,power_bi,686,2357,29.1
2023-05,tableau,651,2357,27.62
2023-06,sql,1163,2362,49.24
2023-06,excel,763,2362,32.3
2023-06,python,672,2362,28.45
2023-06,power_bi,643,2362,27.22
2023-06,tableau,693,2362,29.34
2023-07,sql,1207,2560,47.15
2023-07,excel,770,2560,30.08
2023-07,python,693,2560,27.07
2023-07,power_bi,719,2560,28.09
2023-07,tableau,643,2560,25.12
2023-08,sql,1657,3008,55.09
2023-08,excel,964,3008,32.05
2023-08,python,986,3008,32.78
2023-08,power_bi,959,3008,31.88
2023-08,tableau,861,3008,28.62
2023-09,sql,1457,3085,47.23
2023-09,excel,967,3085,31.35
2023-09,python,885,3085,28.69
2023-09,power_bi,893,3085,28.95
2023-09,tableau,834,3085,27.03
2023-10,sql,1493,3364,44.38
2023-10,excel,1045,3364,31.06
2023-10,python,944,3364,28.06
2023-10,power_bi,843,3364,25.06
2023-10,tableau,798,3364,23.72
2023-11,sql,1301,2601,50.02
2023-11,excel,849,2601,32.64
2023-11,python,829,2601,31.87
2023-11,power_bi,725,2601,27.87
2023-11,tableau,662,2601,25.45
2023-12,sql,1240,2346,52.86
2023-12,excel,857,2346,36.53
2023-12,python,778,2346,33.16
2023-12,power_bi,714,2346,30.43
2023-12,tableau,665,2346,28.35
2024-01,sql,1200,2298,52.22
2024-01,excel,751,2298,32.68
2024-01,python,764,2298,33.25
2024-01,power_bi,629,2298,27.37
2024-01,tableau,595,2298,25.89
2024-02,sql,1391,2534,54.89
2024-02,excel,680,2534,26.84
2024-02,python,869,2534,34.29
2024-02,power_bi,740,2534,29.2
2024-02,tableau,657,2534,25.93
2024-03,sql,1161,2106,55.13
2024-03,excel,662,2106,31.43
2024-03,python,803,2106,38.13
2024-03,power_bi,694,2106,32.95
2024-03,tableau,663,2106,31.48
2024-04,sql,921,1694,54.37
2024-04,excel,555,1694,32.76
2024-04,python,600,1694,35.42
2024-04,power_bi,497,1694,29.34
2024-04,tableau,523,1694,30.87
2024-05,sql,974,1737,56.07
2024-05,excel,495,1737,28.5
2024-05,python,658,1737,37.88
2024-05,power_bi,557,1737,32.07
2024-05,tableau,498,1737,28.67
2024-06,sql,920,1618,56.86
2024-06,excel,526,1618,32.51
2024-06,python,617,1618,38.13
2024-06,power_bi,607,1618,37.52
2024-06,tableau,501,1618,30.96
2024-07,sql,724,1470,49.25
2024-07,excel,403,1470,27.41
2024-07,python,530,1470,36.05
2024-07,power_bi,455,1470,30.95
2024-07,tableau,394,1470,26.8
2024-09,sql,269,449,59.91
2024-09,excel,180,449,40.09
2024-09,python,184,449,40.98
2024-09,power_bi,296,449,65.92
2024-09,tableau,205,449,45.66
2024-10,sql,357,926,38.55
2024-10,excel,226,926,24.41
2024-10,python,243,926,26.24
2024-10,power_bi,211,926,22.79
2024-10,tableau,182,926,19.65
2024-11,sql,315,629,50.08
2024-11,excel,165,629,26.23
2024-11,python,226,629,35.93
2024-11,power_bi,168,629,26.71
2024-11,tableau,159,629,25.28
2024-12,sql,416,1008,41.27
2024-12,excel,263,1008,26.09
2024-12,python,297,1008,29.46
2024-12,power_bi,235,1008,23.31
2024-12,tableau,219,1008,21.73
2025-01,sql,788,1914,41.17
2025-01,excel,531,1914,27.74
2025-01,python,509,1914,26.59
2025-01,power_bi,440,1914,22.99
2025-01,tableau,456,1914,23.82
2025-02,sql,767,1938,39.58
2025-02,excel,496,1938,25.59
2025-02,python,481,1938,24.82
2025-02,power_bi,424,1938,21.88
2025-02,tableau,437,1938,22.55
2025-03,sql,660,1725,38.26
2025-03,excel,448,1725,25.97
2025-03,python,453,1725,26.26
2025-03,power_bi,348,1725,20.17
2025-03,tableau,406,1725,23.54
2025-04,sql,492,1006,48.91
2025-04,excel,305,1006,30.32
2025-04,python,278,1006,27.63
2025-04,power_bi,252,1006,25.05
2025-04,tableau,272,1006,27.04
